Speed  IMEP     PMEP    FMEP   BMEP   MEff  VEff   ThEff  Torque  Power    mf    SFC  TMass  MassIn  MassOut  Lambda  Spark  BackP  QHeat  QWork  QExht  QPump  QFric

1500   9.840  -0.358   1.666   8.533  86.7  78.4  30.8  108.33  17.017   4.62  271.5  426.79  397.83  397.05   1.00   16.0    6.0   35.2   30.8   29.2   -1.3    6.0
1750  10.798  -0.444   1.830   9.412  87.2  83.8  31.8  119.49  21.898   5.76  263.2  457.59  425.44  425.02   1.00   17.0    6.1   34.7   31.8   28.8   -1.5    6.2
2000  10.431  -0.392   1.862   8.961  85.9  83.2  30.5  113.77  23.828   6.53  274.3  441.57  422.04  422.45   1.00   18.0    6.5   31.3   30.5   33.2   -1.3    6.3
2250  10.288  -0.403   1.964   8.727  84.8  80.0  30.9  110.79  26.105   7.07  270.8  425.46  405.88  406.33   1.00   20.0    6.9   30.3   30.9   33.2   -1.4    7.0
2500  10.297  -0.426   2.084   8.640  83.9  75.7  32.3  109.69  28.717   7.44  259.1  411.75  384.35  384.68   1.00   22.0    7.3   30.8   32.3   30.7   -1.6    7.8
2750  11.312  -0.491   2.251   9.552  84.4  82.2  32.9  121.26  34.921   8.88  254.2  445.79  416.97  417.31   1.00   23.0    8.7   31.2   32.9   29.8   -1.7    7.8
3000  11.735  -0.468   2.338   9.865  84.1  86.1  32.5  125.24  39.347  10.15  258.0  462.71  437.03  437.46   1.00   24.0   10.1   29.9   32.5   31.5   -1.5    7.7
3250  12.654  -0.367   2.353  10.669  84.3  100.4  30.1  135.44  46.097  12.82  278.1  525.91  509.45  509.30   1.00   29.0   11.5   31.2   30.1   33.0   -1.0    6.6
3500  13.041  -0.426   2.533  10.934  83.8  100.5  30.8  138.81  50.876  13.82  271.7  523.72  510.07  510.53   1.00   24.0   12.9   27.4   30.8   35.9   -1.2    7.1
3750  12.999  -0.441   2.677  10.763  82.8  98.9  30.8  136.65  53.660  14.58  271.7  517.89  502.13  502.45   1.00   24.0   15.0   26.5   30.8   36.3   -1.3    7.7
4000  13.601  -0.345   2.715  11.231  82.6  106.6  29.8  142.58  59.724  16.76  280.6  561.94  541.15  541.65   1.00   28.0   16.7   28.1   29.8   35.8   -0.9    7.2
4250  14.563  -0.291   2.802  12.052  82.8  113.4  30.1  153.01  68.098  18.93  278.0  598.76  575.37  575.08   1.00   26.0   17.6   27.1   30.1   36.5   -0.7    7.0
4500  13.921  -0.374   3.031  11.264  80.9  104.6  30.5  143.00  67.388  18.49  274.4  552.44  530.84  530.98   1.00   21.0   18.1   24.0   30.5   38.3   -1.0    8.2
4750  13.269  -0.467   3.278  10.459  78.8  97.6  30.4  132.78  66.047  18.21  275.6  519.67  495.06  495.32   1.00   25.0   17.7   25.2   30.4   36.3   -1.4    9.5
5000  13.043  -0.523   3.493  10.073  77.2  98.2  29.1  127.89  66.962  19.28  288.0  526.41  498.16  498.34   1.00   31.0   17.6   26.8   29.1   35.6   -1.5   10.1
5250  12.949  -0.533   3.669   9.814  75.8  100.7  27.6  124.59  68.497  20.77  303.3  542.83  511.08  511.59   1.00   34.0   18.3   27.0   27.6   36.6   -1.5   10.3
5500  13.392  -0.562   3.870  10.084  75.3  103.9  27.5  128.02  73.737  22.46  304.6  558.46  527.44  527.89   1.00   34.0   19.7   26.4   27.5   37.1   -1.5   10.5
5750  13.012  -0.527   4.012   9.527  73.2  102.7  26.3  120.94  72.825  23.21  318.7  550.58  521.40  521.89   1.00   36.0   21.0   26.4   26.3   37.7   -1.5   11.1
6000  13.171  -0.417   4.087   9.501  72.1  100.9  26.7  120.62  75.785  23.79  314.0  540.12  512.23  512.74   1.00   34.0   21.7   25.4   26.7   37.7   -1.2   11.5
6250  12.644  -0.307   4.168   8.783  69.5  93.1  26.7  111.51  72.980  22.87  313.3  498.42  472.61  474.20   1.00   31.0   21.4   24.2   26.7   37.4   -0.9   12.7
6500  11.515  -0.254   4.312   7.457  64.8  82.9  25.5   94.67  64.441  21.16  328.4  444.23  420.57  422.86   1.00   29.0   20.9   23.1   25.5   37.5   -0.9   14.7
