CA, Vcyl, PCyl, mcyl, mb, mu, min, mout, Vb, Vu, Tb, Tu, Qb, Qu, Gamma, xb, IV A, EV A, IV V, EV V, IV P, EV P, WWork, PWork, CO, NO, CO2, HC, htLoss
-359,      67.93,     108789,      30.54,      30.57,      30.57,      -0.01,       0.02,       0.00,       0.00,      881.4,      881.4,     -0.056,     -0.056,      1.277,        1.0,        2.0,       17.5,     -0.324,      1.395,      99103,     107033,    705.263,     56.785,       0.00,       0.00,     120.83,       0.00,       -360
-358,      68.10,     107894,      30.53,      30.54,      30.54,      -0.01,       0.00,       0.00,       0.00,      876.7,      876.7,     -0.056,     -0.056,      1.277,        1.0,        3.1,       16.1,     -0.473,      0.300,      99154,     107854,    705.263,     56.759,       0.00,       0.00,     120.83,       0.00,       -360
-357,      68.40,     106888,      30.54,      30.53,      30.53,      -0.01,      -0.02,       0.00,       0.00,      871.7,      871.7,     -0.055,     -0.055,      1.277,        1.0,        4.3,       14.7,     -0.622,     -1.348,      99208,     108526,    705.263,     56.722,       0.00,       0.00,     120.83,       0.00,       -361
-356,      68.81,     105686,      30.56,      30.54,      30.54,      -0.01,      -0.03,       0.00,       0.00,      866.5,      866.5,     -0.054,     -0.054,      1.278,        1.0,        6.0,       13.3,     -0.778,     -1.814,      99267,     109474,    705.263,     56.672,       0.00,       0.00,     120.83,       0.00,       -361
-355,      69.33,     104287,      30.58,      30.56,      30.56,      -0.02,      -0.03,       0.00,       0.00,      861.1,      861.1,     -0.053,     -0.053,      1.278,        1.0,        7.6,       11.9,     -0.873,     -2.030,      99309,     110470,    705.263,     56.611,       0.00,       0.00,     120.83,       0.00,       -361
-354,      69.98,     102692,      30.60,      30.58,      30.58,      -0.02,      -0.03,       0.00,       0.00,      855.3,      855.3,     -0.052,     -0.052,      1.279,        1.0,       10.3,       10.4,     -0.965,     -2.090,      99350,     111487,    705.263,     56.539,       0.00,       0.00,     120.83,       0.00,       -361
-353,      70.74,     100928,      30.61,      30.60,      30.60,      -0.01,      -0.03,       0.00,       0.00,      849.1,      849.1,     -0.051,     -0.051,      1.280,        1.0,       13.0,        9.0,     -0.830,     -2.033,      99321,     112514,    705.263,     56.456,       0.00,       0.00,     120.83,       0.00,       -361
-352,      71.61,      99063,      30.65,      30.61,      30.61,      -0.00,      -0.03,       0.00,       0.00,      842.7,      842.7,     -0.050,     -0.050,      1.280,        1.0,       16.3,        7.7,      0.000,     -1.912,      98978,     113534,    705.263,     56.364,       0.00,       0.00,     120.83,       0.00,       -361
-351,      72.61,      97180,      30.71,      30.65,      30.65,       0.03,      -0.03,       0.00,       0.00,      836.1,      836.1,     -0.049,     -0.049,      1.281,        1.0,       19.7,        6.9,      1.623,     -1.828,      98552,     114518,    705.263,     56.262,       0.00,       0.00,     120.83,       0.00,       -361
-350,      73.71,      95244,      30.78,      30.71,      30.71,       0.05,      -0.03,       0.00,       0.00,      829.7,      829.7,     -0.048,     -0.048,      1.282,        1.0,       23.6,        6.0,      2.727,     -1.695,      98199,     115488,    705.263,     56.151,       0.00,       0.00,     120.83,       0.00,       -361
