CA, Vcyl, PCyl, mcyl, mb, mu, min, mout, Vb, Vu, Tb, Tu, Qb, Qu, Gamma, xb, IV A, EV A, IV V, EV V, IV P, EV P, WWork, PWork, CO, NO, CO2, HC, htLoss
-359,      42.92,     118276,      21.37,      21.37,       0.00,      -0.00,       0.11,       0.00,       0.00,      870.8,      865.1,     -0.038,     -0.038,      1.278,        1.0,      109.9,       72.2,      0.000,      6.875,     119771,     116129,    536.462,     -1.442,       0.00,       0.00,     120.83,       0.00,       -348
-358,      43.04,     117506,      21.39,      21.39,       0.00,       0.11,       0.10,       0.00,       0.00,      865.1,      861.2,     -0.038,     -0.038,      1.279,        1.0,      124.9,       64.5,      6.213,      6.013,     118042,     114433,    536.462,     -1.460,       0.00,       0.00,     120.83,       0.00,       -348
-357,      43.23,     116797,      21.44,      21.44,       0.00,       0.15,       0.09,       0.00,       0.00,      861.2,      857.5,     -0.038,     -0.037,      1.279,        1.0,      141.4,       56.8,      8.127,      5.678,     117256,     112937,    536.462,     -1.487,       0.00,       0.00,     120.83,       0.00,       -348
-356,      43.50,     116048,      21.53,      21.53,       0.00,       0.18,       0.09,       0.00,       0.00,      857.5,      853.8,     -0.037,     -0.037,      1.279,        1.0,      160.2,       52.7,      9.550,      5.571,     116379,     111554,    536.462,     -1.523,       0.00,       0.00,     120.83,       0.00,       -348
-355,      43.84,     115329,      21.66,      21.66,       0.00,       0.22,       0.09,       0.00,       0.00,      853.8,      850.1,     -0.037,     -0.037,      1.280,        1.0,      179.1,       48.5,     11.382,      5.363,     115545,     110195,    536.462,     -1.567,       0.00,       0.00,     120.83,       0.00,       -348
-354,      44.26,     114641,      21.84,      21.84,       0.00,       0.26,       0.08,       0.00,       0.00,      850.1,      846.2,     -0.037,     -0.036,      1.280,        1.0,      199.4,       44.6,     13.202,      5.137,     114717,     108876,    536.462,     -1.619,       0.00,       0.00,     120.83,       0.00,       -348
-353,      44.76,     113966,      22.06,      22.06,       0.00,       0.30,       0.08,       0.00,       0.00,      846.2,      842.1,     -0.036,     -0.036,      1.281,        1.0,      220.6,       41.8,     14.978,      4.995,     113910,     107618,    536.462,     -1.680,       0.00,       0.00,     120.83,       0.00,       -348
-352,      45.33,     113303,      22.33,      22.33,       0.32,       0.35,       0.08,       0.00,       0.00,      842.1,      837.5,     -0.036,     -0.036,      1.281,        1.0,      241.9,       39.0,     16.723,      4.821,     113116,     106390,    536.462,     -1.749,       0.00,       0.00,     120.83,       0.00,       -348
-351,      45.98,     112657,      22.66,      22.26,       0.72,       0.40,       0.07,       0.00,       0.00,      837.5,      832.5,     -0.036,     -0.036,      1.281,        1.0,      265.7,       36.4,     18.495,      4.649,     112316,     105197,    536.462,     -1.826,       0.00,       0.00,     120.83,       0.00,       -348
-350,      46.70,     112019,      23.04,      22.19,       1.17,       0.45,       0.07,       0.00,       0.00,      832.5,      826.8,     -0.036,     -0.035,      1.282,        1.0,      290.1,       34.4,     20.234,      4.506,     111530,     104044,    536.462,     -1.911,       0.00,       0.00,     120.83,       0.00,       -348
-349,      47.49,     111387,      23.48,      22.12,       1.68,       0.51,       0.07,       0.00,       0.00,      826.8,      820.5,     -0.035,     -0.035,      1.283,        0.9,      314.5,       32.3,     21.926,      4.342,     110757,     102915,    536.462,     -2.004,       0.00,       0.00,     120.83,       0.00,       -348
-348,      48.36,     110761,      23.98,      22.06,       2.24,       0.57,       0.06,       0.00,       0.00,      820.5,      813.4,     -0.035,     -0.035,      1.283,        0.9,      339.6,       30.2,     23.595,      4.157,     109992,     101810,    536.462,     -2.105,       0.00,       0.00,     120.83,       0.00,       -349
-347,      49.31,     110138,      24.55,      22.00,       2.87,       0.63,       0.06,       0.00,       0.00,      813.4,      805.7,     -0.035,     -0.034,      1.284,        0.9,      364.8,       28.1,     25.222,      3.954,     109240,     100727,    536.462,     -2.213,       0.00,       0.00,     120.83,       0.00,       -349
-346,      50.33,     109518,      25.18,      21.94,       3.56,       0.69,       0.06,       0.00,       0.00,      805.7,      797.2,     -0.034,     -0.034,      1.285,        0.9,      389.9,       26.0,     26.814,      3.733,     108500,      99664,    536.462,     -2.328,       0.00,       0.00,     120.83,       0.00,       -349
-345,      51.42,     108900,      25.88,      21.89,       4.31,       0.75,       0.05,       0.00,       0.00,      797.2,      788.0,     -0.034,     -0.033,      1.286,        0.8,      415.1,       23.9,     28.374,      3.497,     107770,      98618,    536.462,     -2.451,       0.00,       0.00,     120.83,       0.00,       -349
