CA, Vcyl, PCyl, Mcyl, Mb, Mu, Min, Mout, Vb, Vu, Tb, Tu, Qb, Qu, Gamma, FuelM, IV A, EV A, IV V, EV V, IV P, EV P, WWork, PWork, CO, NO, CO2, HC, htLoss
-359,      45.78,     130574,      20.88,      20.88,       0.00,      -0.03,      -0.10,       0.00,       0.00,     1047.5,     1042.5,     -0.051,     -0.050,      1.264,        0.0,       95.0,       72.2,     -2.410,     -9.470,     129715,     134001,    434.797,     -0.901,       0.00,       0.00,     120.83,       0.00,   -257.003
-358,      45.89,     130126,      20.97,      20.97,       0.00,      -0.02,      -0.11,       0.00,       0.00,     1042.5,     1037.2,     -0.050,     -0.050,      1.264,        0.0,      109.9,       64.5,     -1.786,     -9.877,     129284,     135028,    434.797,     -0.921,       0.00,       0.00,     120.83,       0.00,   -257.103
-357,      46.08,     129504,      21.07,      21.07,       0.00,      -0.01,      -0.11,       0.00,       0.00,     1037.2,     1031.6,     -0.050,     -0.049,      1.264,        0.0,      124.9,       56.8,     -0.699,     -9.890,     128617,     136094,    434.797,     -0.950,       0.00,       0.00,     120.83,       0.00,   -257.202
-356,      46.35,     128693,      21.18,      21.18,       0.00,      -0.00,      -0.11,       0.00,       0.00,     1031.6,     1025.6,     -0.049,     -0.049,      1.265,        0.0,      141.4,       52.7,      0.000,    -10.132,     127842,     137045,    434.797,     -0.990,       0.00,       0.00,     120.83,       0.00,   -257.300
-355,      46.69,     127851,      21.32,      21.32,       0.00,       0.03,      -0.11,       0.00,       0.00,     1025.6,     1019.7,     -0.049,     -0.048,      1.265,        0.0,      160.2,       48.5,      2.387,    -10.183,     126690,     138006,    434.797,     -1.039,       0.00,       0.00,     120.83,       0.00,   -257.396
-354,      47.11,     126887,      21.48,      21.48,       0.00,       0.05,      -0.11,       0.00,       0.00,     1019.7,     1013.6,     -0.048,     -0.048,      1.265,        0.0,      179.1,       44.6,      3.966,    -10.062,     125654,     138982,    434.797,     -1.097,       0.00,       0.00,     120.83,       0.00,   -257.492
-353,      47.61,     125806,      21.66,      21.66,       0.05,       0.06,      -0.11,       0.00,       0.00,     1013.6,     1007.3,     -0.048,     -0.047,      1.266,        0.0,      199.4,       41.8,      5.441,    -10.036,     124508,     139908,    434.797,     -1.164,       0.00,       0.00,     120.83,       0.00,   -257.587
-352,      48.18,     124623,      21.85,      21.77,       0.13,       0.08,      -0.11,       0.00,       0.00,     1007.3,     1000.8,     -0.047,     -0.047,      1.266,        0.0,      220.6,       39.0,      7.113,     -9.898,     123273,     140852,    434.797,     -1.240,       0.00,       0.00,     120.83,       0.00,   -257.680
-351,      48.83,     123350,      22.07,      21.88,       0.24,       0.11,      -0.11,       0.00,       0.00,     1000.8,      994.0,     -0.046,     -0.046,      1.267,        0.0,      241.9,       36.4,      8.864,     -9.721,     121961,     141801,    434.797,     -1.324,       0.00,       0.00,     120.83,       0.00,   -257.773
-350,      49.55,     122005,      22.31,      21.99,       0.37,       0.13,      -0.11,       0.00,       0.00,      994.0,      986.9,     -0.046,     -0.045,      1.267,        0.0,      265.7,       34.4,     10.673,     -9.569,     120573,     142746,    434.797,     -1.417,       0.00,       0.00,     120.83,       0.00,   -257.864
