Speed  IMEP     PMEP    FMEP   BMEP   MEff  VEff   ThEff  Torque  Power    mf    SFC  TMass  MassIn  MassOut  Lambda  Spark  BackP  QHeat  QWork  QExht  QPump  QFric
4000  13.843  -0.331   2.701  11.473  82.9  108.8  29.9  145.66  61.012  17.09  280.0  572.26  551.71  551.74   1.00   28.0   16.7   28.4   29.9   35.6   -0.9    7.0
4000  13.268  -0.547   2.917  10.898  82.1  108.9  28.2  138.35  57.954  17.21  296.9  574.46  555.70  555.85   1.00    6.0   16.7   18.4   28.2   47.3   -1.4    7.5
4000  13.495  -0.525   2.895  11.125  82.4  108.8  28.8  141.23  59.159  17.19  290.6  574.40  555.20  555.65   1.00    8.0   16.7   19.0   28.8   46.0   -1.4    7.5
4000  13.695  -0.504   2.874  11.325  82.7  108.9  29.3  143.78  60.225  17.20  285.5  574.68  555.27  555.48   1.00   10.0   16.7   19.7   29.3   44.9   -1.3    7.4
4000  13.868  -0.485   2.855  11.498  82.9  108.8  29.8  145.97  61.146  17.19  281.1  574.74  555.11  555.41   1.00   12.0   16.7   20.4   29.8   43.7   -1.3    7.4
4000  14.003  -0.465   2.835  11.633  83.1  108.8  30.1  147.69  61.863  17.19  277.8  574.81  554.96  555.25   1.00   14.0   16.7   21.1   30.1   42.6   -1.2    7.3
4000  14.102  -0.447   2.817  11.732  83.2  108.7  30.4  148.94  62.388  17.18  275.3  574.73  554.67  555.11   1.00   16.0   16.7   21.9   30.4   41.5   -1.2    7.3
4000  14.158  -0.428   2.798  11.788  83.3  108.7  30.6  149.66  62.689  17.18  274.0  574.95  554.69  554.95   1.00   18.0   16.7   22.8   30.6   40.5   -1.1    7.3
4000  14.174  -0.410   2.780  11.804  83.3  108.7  30.6  149.85  62.770  17.17  273.5  574.92  554.44  554.88   1.00   20.0   16.7   23.7   30.6   39.6   -1.1    7.2
4000  14.145  -0.394   2.764  11.775  83.2  108.7  30.5  149.48  62.616  17.17  274.1  574.99  554.31  554.76   1.00   22.0   16.7   24.6   30.5   38.7   -1.0    7.2
4000  14.071  -0.380   2.750  11.701  83.2  108.6  30.4  148.54  62.222  17.16  275.8  575.11  554.23  554.63   1.00   24.0   16.7   25.5   30.4   38.0   -1.0    7.1
4000  13.949  -0.365   2.735  11.579  83.0  108.6  30.0  147.01  61.578  17.16  278.7  575.20  554.13  554.51   1.00   26.0   16.7   26.5   30.0   37.3   -0.9    7.1
4000  13.781  -0.351   2.721  11.411  82.8  108.7  29.6  144.87  60.682  17.16  282.9  575.53  554.28  554.44   1.00   28.0   16.7   27.5   29.6   36.8   -0.9    7.1
4000  13.406  -0.320   2.690  11.036  82.3  108.5  28.7  140.11  58.691  17.14  292.1  575.52  553.59  553.84   1.00   30.0   16.7   27.9   28.7   37.3   -0.8    7.0
4000  13.354  -0.533   2.903  10.984  82.3  109.1  28.5  139.45  58.412  17.13  293.3  571.28  553.21  553.33   1.00    6.0   16.7   18.6   28.5   46.6   -1.4    7.5
4000  13.588  -0.511   2.881  11.218  82.6  109.1  29.2  142.41  59.654  17.13  287.1  571.37  553.08  553.20   1.00    8.0   16.7   19.3   29.2   45.4   -1.3    7.5
4000  13.793  -0.490   2.860  11.423  82.8  109.1  29.7  145.03  60.749  17.12  281.9  571.45  552.95  553.05   1.00   10.0   16.7   20.0   29.7   44.1   -1.3    7.4
