CA, Vcyl, PCyl, Mcyl, Mb, Mu, Min, Mout, Vb, Vu, Tb, Tu, Qb, Qu, Gamma, FuelM, IV A, EV A, IV V, EV V, IV P, EV P, WWork, PWork, CO, NO, CO2, HC, htLoss
-359,      48.68,      84605,      18.38,      18.38,       0.00,      -0.00,      -0.00,       0.00,       0.00,      820.6,      816.2,     -0.029,     -0.029,      1.283,        0.0,       95.0,       72.2,      0.000,      0.000,      84634,      84597,    569.985,     -4.022,       0.00,       0.00,     120.83,       0.00,   -381.670
-358,      48.79,      84218,      18.42,      18.42,       0.00,       0.03,      -0.02,       0.00,       0.00,      816.2,      812.3,     -0.029,     -0.028,      1.284,        0.0,      109.9,       64.5,      1.665,     -1.277,      83968,      83975,    569.985,     -4.035,       0.00,       0.00,     120.83,       0.00,   -381.727
-357,      48.98,      83779,      18.49,      18.49,       0.00,       0.04,      -0.02,       0.00,       0.00,      812.3,      808.2,     -0.028,     -0.028,      1.284,        0.0,      124.9,       56.8,      2.448,     -1.674,      83448,      83498,    569.985,     -4.054,       0.00,       0.00,     120.83,       0.00,   -381.783
-356,      49.25,      83299,      18.58,      18.58,       0.00,       0.06,      -0.03,       0.00,       0.00,      808.2,      804.1,     -0.028,     -0.028,      1.285,        0.0,      141.4,       52.7,      3.348,     -2.039,      82886,      83002,    569.985,     -4.080,       0.00,       0.00,     120.83,       0.00,   -381.839
-355,      49.59,      82797,      18.70,      18.70,       0.00,       0.08,      -0.03,       0.00,       0.00,      804.1,      799.9,     -0.028,     -0.027,      1.285,        0.0,      160.2,       48.5,      4.454,     -2.320,      82302,      82500,    569.985,     -4.112,       0.00,       0.00,     120.83,       0.00,   -381.894
-354,      50.01,      82273,      18.84,      18.84,       0.00,       0.10,      -0.04,       0.00,       0.00,      799.9,      795.6,     -0.027,     -0.027,      1.286,        0.0,      179.1,       44.6,      5.623,     -2.507,      81705,      81997,    569.985,     -4.149,       0.00,       0.00,     120.83,       0.00,   -381.948
-353,      50.51,      81734,      19.00,      19.00,       0.00,       0.13,      -0.04,       0.00,       0.00,      795.6,      791.2,     -0.027,     -0.027,      1.286,        0.0,      199.4,       41.8,      6.863,     -2.666,      81090,      81485,    569.985,     -4.193,       0.00,       0.00,     120.83,       0.00,   -382.002
-352,      51.08,      81183,      19.20,      19.20,       0.06,       0.16,      -0.04,       0.00,       0.00,      791.2,      786.6,     -0.027,     -0.027,      1.286,        0.0,      220.6,       39.0,      8.164,     -2.769,      80467,      80977,    569.985,     -4.242,       0.00,       0.00,     120.83,       0.00,   -382.056
-351,      51.73,      80624,      19.42,      19.24,       0.24,       0.19,      -0.04,       0.00,       0.00,      786.6,      782.0,     -0.027,     -0.026,      1.287,        0.0,      241.9,       36.4,      9.500,     -2.842,      79838,      80477,    569.985,     -4.297,       0.00,       0.00,     120.83,       0.00,   -382.109
-350,      52.45,      80063,      19.68,      19.28,       0.46,       0.22,      -0.04,       0.00,       0.00,      782.0,      777.1,     -0.026,     -0.026,      1.288,        0.0,      265.7,       34.4,     10.891,     -2.912,      79200,      79990,    569.985,     -4.358,       0.00,       0.00,     120.83,       0.00,   -382.161
