CA, Vcyl, PCyl, Mcyl, Mb, Mu, Min, Mout, Vb, Vu, Tb, Tu, Qb, Qu, Gamma, FuelM, IV A, EV A, IV V, EV V, IV P, EV P, WWork, PWork, CO, NO, CO2, HC, htLoss
-359,      45.36,      84352,      18.31,      18.31,       0.00,      -0.05,      -0.04,       0.00,       0.00,      765.6,      761.1,     -0.025,     -0.024,      1.289,        0.0,       95.0,       72.2,     -3.027,     -2.387,      84157,      84671,    552.116,     -0.076,       0.00,       0.00,     120.83,       0.00,   -439.653
-358,      45.48,      83774,      18.33,      18.33,       0.00,      -0.03,      -0.05,       0.00,       0.00,      761.1,      756.9,     -0.024,     -0.024,      1.290,        0.0,      109.9,       64.5,     -1.707,     -3.342,      83568,      84174,    552.116,     -0.089,       0.00,       0.00,     120.83,       0.00,   -439.701
-357,      45.67,      83234,      18.39,      18.39,       0.00,      -0.00,      -0.06,       0.00,       0.00,      756.9,      752.8,     -0.024,     -0.024,      1.291,        0.0,      124.9,       56.8,      0.000,     -3.777,      82874,      83755,    552.116,     -0.108,       0.00,       0.00,     120.83,       0.00,   -439.749
-356,      45.93,      82705,      18.48,      18.48,       0.00,       0.03,      -0.06,       0.00,       0.00,      752.8,      748.8,     -0.024,     -0.023,      1.291,        0.0,      141.4,       52.7,      1.614,     -4.060,      82174,      83339,    552.116,     -0.134,       0.00,       0.00,     120.83,       0.00,   -439.796
-355,      46.28,      82151,      18.59,      18.59,       0.00,       0.05,      -0.06,       0.00,       0.00,      748.8,      744.8,     -0.023,     -0.023,      1.291,        0.0,      160.2,       48.5,      3.046,     -4.171,      81517,      82926,    552.116,     -0.165,       0.00,       0.00,     120.83,       0.00,   -439.843
-354,      46.70,      81571,      18.73,      18.73,       0.00,       0.07,      -0.06,       0.00,       0.00,      744.8,      740.7,     -0.023,     -0.023,      1.292,        0.0,      179.1,       44.6,      4.522,     -4.196,      80854,      82496,    552.116,     -0.202,       0.00,       0.00,     120.83,       0.00,   -439.889
-353,      47.19,      80977,      18.89,      18.89,       0.00,       0.10,      -0.06,       0.00,       0.00,      740.7,      736.7,     -0.023,     -0.023,      1.292,        0.0,      199.4,       41.8,      6.099,     -4.230,      80178,      82033,    552.116,     -0.246,       0.00,       0.00,     120.83,       0.00,   -439.935
-352,      47.77,      80370,      19.08,      19.08,       0.00,       0.13,      -0.06,       0.00,       0.00,      736.7,      732.7,     -0.023,     -0.022,      1.293,        0.0,      220.6,       39.0,      7.726,     -4.197,      79496,      81553,    552.116,     -0.294,       0.00,       0.00,     120.83,       0.00,   -439.980
-351,      48.41,      79753,      19.30,      19.30,       0.00,       0.16,      -0.06,       0.00,       0.00,      732.7,      728.5,     -0.022,     -0.022,      1.293,        0.0,      241.9,       36.4,      9.401,     -4.135,      78811,      81057,    552.116,     -0.349,       0.00,       0.00,     120.83,       0.00,   -440.025
-350,      49.13,      79135,      19.55,      19.55,       0.00,       0.19,      -0.06,       0.00,       0.00,      728.5,      724.2,     -0.022,     -0.022,      1.294,        0.0,      265.7,       34.4,     11.145,     -4.077,      78120,      80546,    552.116,     -0.409,       0.00,       0.00,     120.83,       0.00,   -440.069
